CustomerID,Age,Gender,Location,ProductCategory,PurchaseAmount,PaymentMethod,PurchaseDate,DeviceUsed,ReturningCustomer
e555349c-0446-41fc-a343-188e4cbc226a,38,Male,Germany,Books,1969.04,PayPal,2024-08-29,Desktop,Yes
042dd0c7-b4ab-42f5-bd1c-04795a375acd,70,Female,Canada,Sports,464.76,Cash,2025-03-23,Mobile,No
300b7393-3eff-4268-91d5-97c97fc02a36,70,Male,India,Books,1724.29,PayPal,2024-04-05,Mobile,No
a6dc41cf-8117-4df3-aa63-fe9729fb8143,41,Male,Australia,Sports,58.1,Debit Card,2025-12-17,Mobile,No
d6369cb1-736d-409e-8276-bd5101928553,24,Female,Canada,Clothing,1571.8,Credit Card,2024-11-10,Desktop,No
5ca7ab3d-7f8e-4837-8dcc-f9719c3fcc35,53,Male,UK,Sports,880.5,Credit Card,2025-01-31,Tablet,Yes
429f0681-bc60-4fed-b6d0-cfe084315a5f,37,Female,USA,Home,1577.19,Credit Card,2024-08-27,Mobile,No
1d2c8988-5e40-4808-a514-37469e7fda62,49,Male,India,Clothing,1279.79,Credit Card,2024-07-18,Mobile,No
ad8c9ed5-1814-42ae-88a1-6184a51fa49d,44,Male,Australia,Books,877.9,Credit Card,2024-04-05,Tablet,Yes
bf684e3f-94d5-40e4-bcbd-ec44a980fd29,34,Male,USA,Electronics,209.9,Debit Card,2024-06-21,Tablet,No
dcbf52d2-df30-41e5-b242-426ca04fa401,51,Female,UK,Clothing,1162.99,Credit Card,2025-08-22,Tablet,No
702fdbe1-9554-40fd-8eea-3db153f178fd,22,Male,UK,Home,64.15,PayPal,2025-02-05,Desktop,Yes
e0e9287c-1fb4-4e16-b43f-4a0fe3d5c53a,70,Female,UK,Clothing,626.8,Credit Card,2025-03-13,Desktop,No
6f013820-0cc8-481f-a75a-271c3f8e7f5c,45,Female,USA,Electronics,909.69,Cash,2025-07-15,Mobile,No
6026bbdd-44cd-4274-9557-0cce4dd191f7,27,Female,Germany,Home,1889.78,Cash,2024-04-27,Mobile,Yes
6562065c-2a25-4d83-aeab-a968ba512ea8,26,Female,UK,Sports,1249.61,Debit Card,2024-10-02,Desktop,Yes
a46f47f3-6e99-4b1c-9665-d7cfa0d8e095,41,Male,Australia,Electronics,1926.33,Cash,2024-08-22,Desktop,No
